Code;Name area;Number ;Full name;Address;Head;Phone code;Contact number;E-mail;Website;Russian language,amount OGE;Russian language,GPA OGE;Russian language,spravlyaemost OGE;Mathematics,amount OGE;Mathematics,GPA OGE;Mathematics,spravlyaemost OGE;Russian language,amount EGE;Russian language,GPA EGE;Russian language,spravlyaemost EGE;Mathematics profil,amount EGE;Mathematics profil,GPA EGE;Mathematics profil,spravlyaemost EGE;Mathematics base,amount EGE;Mathematics base,GPA EGE;Mathematics base,spravlyaemost EGE;Physics,amount EGE;Physics,GPA EGE;Physics,spravlyaemost EGE;Chemistry,amount EGE;Chemistry,GPA EGE;Chemistry,spravlyaemost EGE;Computer science,amount EGE;Computer science,GPA EGE;Computer science,spravlyaemost EGE;Biology,amount EGE;Biology,GPA EGE;Biology,spravlyaemost EGE;History,amount EGE;History,GPA EGE;History,spravlyaemost EGE;Geography,amount EGE;Geography,GPA EGE;Geography,spravlyaemost EGE;English,amount EGE;English,GPA EGE;English,spravlyaemost EGE;Social Studies,amount EGE;Social Studies,GPA EGE;Social Studies,spravlyaemost EGE;Literature,amount EGE;Literature,GPA EGE;Literature,spravlyaemost EGE;Lat;Long
760205;г. Ярославль;47;"Муниципальное общеобразовательное учреждение ""Средняя школа № 47""";150008, Ярославская обл., г. Ярославль, ул. Клубная, д.23;Мазурец Елена Николаевна;4852;249206;yarsch047@yandex.ru;http://school47.edu.yar.ru;19;29,3;100;19;13,5;100;12;51,9;100;2;47,5;100;10;3,1;90;2;68,5;100;-;-;-;-;-;-;-;-;-;3;32;33,3;-;-;-;-;-;-;5;30,6;40;1;32;100;57.607147;39.958025
760206;г. Ярославль;48;"Муниципальное общеобразовательное учреждение ""Средняя школа № 48""";150065, Ярославская обл., г. Ярославль, ул. Папанина, д.10а;Журина Ирина Николаевна;4852;753442;yarsch048@yandex.ru;http://school48.edu.yar.ru;48;32;97,9;48;15,9;97,9;34;69,6;100;31;41,2;87,1;30;4,1;100;10;55,4;100;2;54,5;100;1;27;0;9;50,8;88,9;4;45,8;100;2;46;100;3;51,3;100;24;58;95,8;5;58;100;57.642141;39.953309
760207;г. Ярославль;50;"Муниципальное общеобразовательное учреждение ""Основная школа № 50 имени Валерия Харитонова""";150020, Ярославская обл., г. Ярославль, пр-т Авиаторов, д.37;Хворикова Елена Юрьевна;4852;241372;yarsch050@yandex.ru;http://school50.edu.yar.ru;19;30,3;100;19;12,4;100;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;57.644318;39.917439
760208;г. Ярославль;51;"Муниципальное общеобразовательное учреждение ""Средняя школа № 51""";150008, Ярославская обл., г. Ярославль, ул. Клубная, д.62;Андронов Дмитрий Анатольевич;4852;361140;yarsch051@yandex.ru;http://school51.edu.yar.ru;28;32,2;100;28;16,7;100;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;57.609172;39.979351
760209;г. Ярославль;52;"Муниципальное общеобразовательное учреждение ""Средняя школа № 52""";150051, Ярославская обл., г. Ярославль, ул. Саукова, д.13;Алексеева Наталья Михайловна;4852;247666;yarsch052@yandex.ru;http://school52.edu.yar.ru;92;30,8;98,9;92;19,6;97,8;33;73,6;100;32;62,3;100;3;4,3;100;10;54,6;100;1;68;100;7;72,6;100;4;65;100;4;60,8;100;2;51,5;100;5;75,2;100;20;62,4;100;2;57;100;57.64586;39.949141
760210;г. Ярославль;59;"Муниципальное общеобразовательное учреждение ""Средняя школа № 59""";150062, Ярославская обл., г. Ярославль, ул. Серго Орджоникидзе, д.35а;Квитницкая Галина Львовна;4852;246575;yarsch059@yandex.ru;http://school59.edu.yar.ru;84;30,6;100;84;17,2;98,8;47;73,5;100;38;51,9;92,1;34;4,3;100;8;57,9;100;8;57,8;87,5;9;64,4;100;17;54,1;88,2;5;51,6;100;-;-;-;2;59;100;26;56,1;84,6;3;54,3;100;57.652809;39.955438
760211;г. Ярославль;67;"Муниципальное общеобразовательное учреждение ""Средняя школа № 67""";150034, Ярославская обл., г. Ярославль, ул. Панфилова, д.9а;Дроздова Наталья Юрьевна;4852;384155;yarsch067@yandex.ru;http://school67.edu.yar.ru;46;31;100;46;13,9;97,8;16;66;100;16;35;68,8;11;3,6;100;1;44;100;1;43;100;1;68;100;5;28,2;0;2;47,5;50;1;65;100;-;-;-;11;48,8;72,7;-;-;-;57.721757;39.830204
760212;г. Ярославль;69;"Муниципальное общеобразовательное учреждение ""Средняя школа № 69""";150034, Ярославская обл., г. Ярославль, ул. Лебедева, д.3а;Анисимова Любовь Владимировна;4852;383925;yarsch069@yandex.ru;http://sch69.yaradres.ru;31;30,4;100;31;15,9;100;13;67,8;100;13;34,5;84,6;13;4,2;100;2;47;100;-;-;-;-;-;-;-;-;-;6;46,3;83,3;-;-;-;-;-;-;13;57,2;84,6;-;-;-;57.724031;39.833168
760213;г. Ярославль;77;"Муниципальное общеобразовательное учреждение ""Средняя школа № 77""";150034, Ярославская обл., г. Ярославль, ул. Комарова, д.1а;Чеснокова Татьяна Сергеевна;4852;382155;yarsch077@yandex.ru;http://school77.edu.yar.ru;26;30;100;26;15,8;100;19;62,2;100;15;32,4;46,7;19;3,8;100;-;-;-;2;29,5;50;-;-;-;8;35,9;37,5;5;54;100;-;-;-;-;-;-;17;43,5;58,8;3;61,3;100;57.729548;39.82131
760215;г. Ярославль;83;"Муниципальное общеобразовательное учреждение ""Средняя школа № 83""";150051, Ярославская обл., г. Ярославль, Школьный пр., д.15;Глазкова Ольга Викторовна;4852;248816;yarsch083@yandex.ru;http://school83.edu.yar.ru;51;30,2;100;51;16,4;98;23;80,2;100;22;57,8;95,5;9;4,1;88,9;7;55,6;100;4;59,5;100;3;59;66,7;5;60,4;100;3;42;100;-;-;-;1;41;100;15;57,9;100;1;69;100;57.6482;39.958932
760216;г. Ярославль;84;"Муниципальное общеобразовательное учреждение ""Средняя школа № 84 с углубленным изучением английского языка""";150062, Ярославская обл., г. Ярославль, пр. Доброхотова, д.8;Юдина Елена Донатовна;4852;240165;yarsch084@yandex.ru;http://school84.edu.yar.ru;47;31,1;100;47;16,2;97,9;29;70,1;100;14;38,4;64,3;29;4;100;4;51;100;4;64,5;100;3;63;100;7;52,3;85,7;5;57,2;100;-;-;-;6;72,5;100;18;55,3;88,9;3;53,3;100;57.653686;39.948745
760217;г. Ярославль;97;"Муниципальное общеобразовательное учреждение ""Открытая (сменная) школа № 97""";150007, Ярославская обл., г. Ярославль, ст. Урочь, д.10 ;Чуфаровская Валентина Карповна;4852;240488;yarsch097@yandex.ru;http://76202s097.edusite.ru;35;29,1;100;35;13,2;100;17;45,2;94,1;5;21,8;40;17;3,2;82,4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;7;40,4;57,1;-;-;-;57.640253;39.904935
760218;г. Ярославль;3;"Муниципальное общеобразовательное учреждение ""Гимназия № 3""";150051, Ярославская обл., г. Ярославль, ул. Саукова, д.5;Табунова Татьяна Александровна;4852;246607;yargimn003@yandex.ru;http://gimn3.edu.yar.ru;96;33,6;100;96;21,7;100;79;80,9;100;67;64,2;100;20;4,8;100;13;58,2;100;6;60,3;100;12;66,2;100;14;62,7;100;10;72,2;100;2;75,5;100;13;70,8;100;51;70,4;100;15;67,6;100;57.644679;39.945754
760225;г. Ярославль;;"Муниципальное общеобразовательное учреждение ""Санаторно-лесная школа""";150518, Ярославская обл., Ярославский р-н, пос. Красный Бор, д.38а;Ушкова Нина Васильевна;4852;759785;yarschles@yandex.ru;http://sanschool.edu.yar.ru;5;32,6;100;5;13,2;100;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;57.6537;39.977429
760301;г. Ярославль;1;"Муниципальное общеобразовательное учреждение ""Средняя школа № 1""";150049, Ярославская обл., г. Ярославль, ул. С.-Щедрина, д.75;Петрунина Галина Николаевна;4852;213635;yarsch001@yandex.ru;http://яршкола1.рф;42;28,4;100;42;16,1;100;31;70,6;100;23;57,3;100;13;4,2;100;1;83;100;5;61;100;3;59,3;100;8;62,8;100;3;69,3;100;-;-;-;2;70;100;22;70;95,5;2;46,5;100;57.622964;39.851727
760302;г. Ярославль;4;"Муниципальное общеобразовательное учреждение ""Средняя школа № 4 имени Н.А.Некрасова с углубленным изучением английского языка""";150000, Ярославская обл., г. Ярославль, ул. Волкова, д.5;Высочанская Наталья Петровна;4852;745311;yarsch004@yandex.ru;http://school4.edu.yar.ru;59;34,3;100;59;18;98,3;70;83,2;100;54;60,1;98,1;27;4,3;100;5;70,2;100;11;70,1;100;4;63;100;12;73,2;100;24;66,6;100;-;-;-;51;80,5;100;50;69,5;100;7;67,3;100;57.629099;39.893912
760303;г. Ярославль;7;"Муниципальное общеобразовательное учреждение ""Средняя школа № 7""";150014, Ярославская обл., г. Ярославль, ул. Победы, д.46;Богачева Татьяна Алексеевна;4852;329087;yarsch007@yandex.ru;http://school7.edu.yar.ru;28;31,9;100;26;17,8;100;21;57,6;100;12;27,3;41,7;21;3,6;100;1;46;100;-;-;-;-;-;-;15;40,9;66,7;2;32;50;6;41,8;66,7;3;22,3;33,3;17;38,8;47,1;-;-;-;57.624125;39.867574
760304;г. Ярославль;25;"Муниципальное общеобразовательное учреждение ""Средняя школа № 25 имени Александра Сивагина""";150054, Ярославская обл., г. Ярославль, ул. Угличская, д.27;Вязниковцева Ольга Леонидовна;4852;216353;yarsch025@yandex.ru;http://yarshkola25.edusite.ru;22;26,1;100;22;13,9;95,5;23;61,2;100;15;30,5;66,7;20;3,6;100;6;48,3;100;-;-;-;-;-;-;5;45,8;100;7;50,1;100;4;43;100;2;50;100;15;53,5;73,3;2;62,5;100;57.629296;39.843274
760305;г. Ярославль;33;"муниципальное общеобразовательное учреждение ""Средняя школа № 33 им. К. Маркса с углублённым изучением математики""";150000, Ярославская обл., г. Ярославль, ул. Собинова, д.22;Головлёв Михаил Алексеевич;4852;305625;yarsch033@yandex.ru;http://www.33-school.yaroslavl.ru;100;35;100;101;25,8;100;76;81,9;100;76;75,6;100;-;-;-;30;68,6;100;8;83,9;100;35;81,9;100;13;71,6;100;9;62,1;100;3;67,3;100;12;72,8;100;24;69;100;-;-;-;57.628135;39.881462
760306;г. Ярославль;42;"Муниципальное общеобразовательное учреждение ""Средняя школа № 42 им. Н.П. Гусева с углубленным изучением французского языка""";150014, Ярославская обл., г. Ярославль, ул. С.-Щедрина, д.42а;Галочкина Наталия Владимировна;4852;726362;yarsch042@yandex.ru;http://school42.edu.yar.ru;81;34,5;100;81;19,4;100;59;80,6;100;30;60;100;41;4,3;100;11;56,7;100;14;64,5;100;1;68;100;12;61,6;91,7;13;62,4;92,3;1;62;100;4;75,3;100;32;61,3;96,9;7;71,9;100;57.624058;39.863962
760307;г. Ярославль;43;"Муниципальное общеобразовательное учреждение ""Средняя школа № 43 им. А.С. Пушкина с углубленным изучением немецкого языка""";150000, Ярославская обл., г. Ярославль, ул. Б.Октябрьская, д.64а;Борецкая Майя Валерьевна;4852;728611;yarsch043@yandex.ru;http://76202s043.edusite.ru;70;33,8;100;70;17,9;98,6;63;75,9;100;54;49;94,4;31;4,2;100;12;62,7;100;7;58,4;100;14;66,4;100;10;58,1;90;14;62,6;100;1;63;100;5;59,2;100;34;67,5;100;5;73,4;100;57.622096;39.873754
760308;г. Ярославль;49;"Муниципальное общеобразовательное учреждение ""Средняя школа № 49""";150014, Ярославская обл., г. Ярославль, ул. Свободы, д.77;Воробьева Галина Сергеевна;4852;214695;yarsch049@yandex.ru;http://school49yar.ru;109;32;100;109;17,6;100;64;81,9;100;42;58;97,6;39;4,4;100;10;63,9;100;13;67,8;100;7;70,4;100;16;69,5;100;19;62,9;100;2;83;100;8;77,3;100;35;69,5;97,1;7;66,4;100;57.626005;39.860127
760310;г. Ярославль;70;"Муниципальное общеобразовательное учреждение ""Средняя школа № 70""";150003, Ярославская обл., г. Ярославль, ул. Терешковой, д.20;Луковикова Ирина Ивановна;4852;305500;yarsch070@yandex.ru;http://school70.edu.yar.ru;58;31,1;100;58;17,3;100;28;70,6;100;24;40,5;87,5;27;4,1;100;7;56,9;100;3;47,3;66,7;4;71;100;8;49,1;75;3;46,7;66,7;-;-;-;2;68,5;100;14;55,2;100;3;55;100;57.635464;39.887561
760314;г. Ярославль;;"Муниципальное общеобразовательное учреждение ""Средняя школа с углубленным изучением отдельных предметов ""Провинциальный колледж""";150049, Ярославская обл., г. Ярославль, ул. Б.Октябрьская, 79;Семко Елена Романовна;4852;212385;yarprovcol@yandex.ru;http://pcollege.edu.yar.ru;-;-;-;-;-;-;103;76,8;100;86;53,6;96,5;39;4,1;100;15;50,6;100;7;65,7;100;25;64,4;100;16;65,8;100;27;55,4;100;-;-;-;19;68,2;94,7;66;59,7;95,5;8;69;100;57.620279;39.857063
760401;г. Ярославль;8;"Муниципальное общеобразовательное учреждение ""Средняя школа № 8""";150029, Ярославская обл., г. Ярославль, ул. Бахвалова, д.3;Батузова Ирина Владимировна;4852;217323;yarsch008@yandex.ru;http://school8.edu.yar.ru;30;32,6;100;30;15,4;96,7;21;59,2;100;19;36,8;68,4;18;3,4;88,9;4;41,8;100;3;54,7;100;-;-;-;10;46,7;80;1;42;100;3;40;66,7;1;47;100;19;41,1;57,9;2;45,5;50;57.609042;39.818526
760402;г. Ярославль;12;"Муниципальное общеобразовательное учреждение ""Средняя школа № 12""";150029, Ярославская обл., г. Ярославль, ул. Курчатова, д.8;Толстякова Елена Борисовна;4852;441605;yarsch012@yandex.ru;http://school12.edu.yar.ru;22;33;100;22;16,1;100;23;62,7;100;22;37;72,7;16;3,6;100;5;46,8;100;2;73;100;2;67;100;5;59,6;100;3;49,7;100;-;-;-;-;-;-;13;57,5;92,3;1;63;100;57.581066;39.84632
760403;г. Ярославль;13;"Муниципальное общеобразовательное учреждение ""Средняя школа № 13""";150002, Ярославская обл., г. Ярославль, ул. Маланова, д.10г;Потемина Марина Павловна;4852;327654;yarsch013@yandex.ru;http://school13.edu.yar.ru;59;32,5;100;59;17,1;100;28;61;100;26;44,2;100;7;4;100;8;44,3;100;2;39,5;50;-;-;-;4;47,5;100;4;56,3;100;-;-;-;-;-;-;25;51,6;88;-;-;-;57.605604;39.827572
760404;г. Ярославль;15;"Муниципальное общеобразовательное учреждение ""Средняя школа № 15""";150046, Ярославская обл., г. Ярославль, ул. Павлова, д.37;Томилина Ольга Ивановна;4852;311375;yarsch015@yandex.ru;http://76202s015.edusite.ru;41;30,4;100;41;17,4;100;32;67,8;100;25;36;76;21;3,8;100;11;48,1;100;3;53;100;3;57,7;100;4;61,3;100;7;55,3;100;6;59,5;100;3;69;100;16;52,4;75;1;82;100;57.587859;39.834049
